time="2023-12-25T11:34:41.552" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:44.553" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:44.553" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:47.555" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:47.555" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:50.557" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:50.557" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:53.558" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:53.558" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:56.560" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:56.560" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:34:59.562" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:34:59.562" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:02.563" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:02.563" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:05.565" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:05.565" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:08.567" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:08.567" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:11.568" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:11.568" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:14.570" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:14.570" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:17.572" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:17.572" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:20.574" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:20.574" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:23.576" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:23.576" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:26.578" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:26.578" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:29.579" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:29.579" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:32.581" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:32.581" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:35.583" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:35.583" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:38.584" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:38.584" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:41.586" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:41.586" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:44.588" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:44.588" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:47.590" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:47.590" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:50.591" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:50.591" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:53.593" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:53.593" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:56.595" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:56.595" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:35:59.596" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:35:59.596" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:02.598" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:02.598" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:05.600" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:05.600" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:08.602" level=warning msg="Resource predicate not passed, pod is not running..."
time="2023-12-25T11:36:08.602" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2023-12-25T11:36:11.603" level=warning msg="Resource predicate not passed, pod is not running..."
