hostname,value,timestamp,id
node_3,-222.799985,1696162646,OutSegs
node_1,197.082788,1696162646,InSegs
node_1,-272.50467,1696162646,OutSegs
node_2,23.7151397,1696162646,InSegs
node_2,-113.8226593,1696162646,OutSegs
master,166.67271,1696162651,InSegs
master,-285.414708,1696162651,OutSegs
node_3,81.495492,1696162651,InSegs
node_3,-167.050524,1696162651,OutSegs
node_1,26.9080521,1696162651,InSegs
node_1,-101.3078127,1696162651,OutSegs
node_2,197.425532,1696162651,InSegs
node_2,-285.483754,1696162651,OutSegs
master,218.55383,1696162656,InSegs
master,-358.825568,1696162656,OutSegs
node_3,126.3045188,1696162656,InSegs
node_3,-202.1494866,1696162656,OutSegs
node_1,182.920088,1696162656,InSegs
node_1,-255.298428,1696162656,OutSegs
node_2,36.895286,1696162656,InSegs
node_2,-128.79542,1696162656,OutSegs
master,176.055348,1696162661,InSegs
master,-298.403506,1696162661,OutSegs
node_3,132.0435998,1696162661,InSegs
node_3,-215.0907897,1696162661,OutSegs
node_1,46.7992777,1696162661,InSegs
node_1,-122.9103653,1696162661,OutSegs
node_2,166.3047094,1696162661,InSegs
node_2,-255.004578,1696162661,OutSegs
master,191.49415,1696162666,InSegs
master,-303.345704,1696162666,OutSegs
node_3,72.9563979,1696162666,InSegs
node_3,-154.3092149,1696162666,OutSegs
node_1,159.4898034,1696162666,InSegs
node_1,-227.9787196,1696162666,OutSegs
node_2,51.447838,1696162666,InSegs
node_2,-144.19422,1696162666,OutSegs
master,290.692146,1696162671,InSegs
master,-411.650404,1696162671,OutSegs
node_3,196.587852,1696162671,InSegs
node_3,-279.571992,1696162671,OutSegs
node_1,113.582794,1696162671,InSegs
node_1,-188.9168,1696162671,OutSegs
node_2,150.1521742,1696162671,InSegs
node_2,-239.805762,1696162671,OutSegs
master,283.255888,1696162676,InSegs
master,-408.968372,1696162676,OutSegs
node_3,7.4121326,1696162676,InSegs
node_3,-89.2280116,1696162676,OutSegs
node_1,91.017218,1696162676,InSegs
node_1,-162.4831872,1696162676,OutSegs
node_2,55.2,1696162676,InSegs
node_2,-147.599992,1696162676,OutSegs
master,242.36981,1696162681,InSegs
master,-390.96642,1696162681,OutSegs
node_3,194.199994,1696162681,InSegs
node_3,-275.200002,1696162681,OutSegs
node_1,184.620036,1696162681,InSegs
node_1,-260.175198,1696162681,OutSegs
node_2,146.5999906,1696162681,InSegs
node_2,-231.599995,1696162681,OutSegs
master,94.331236,1696162686,InSegs
master,-196.832008,1696162686,OutSegs
node_3,27.4814644,1696162686,InSegs
node_3,-110.200308,1696162686,OutSegs
node_1,7.3799655,1696162686,InSegs
node_1,-81.0247871,1696162686,OutSegs
node_2,145.229812,1696162686,InSegs
node_2,-234.96594,1696162686,OutSegs
master,252.750882,1696162691,InSegs
master,-405.17376,1696162691,OutSegs
node_3,123.7925832,1696162691,InSegs
node_3,-203.200324,1696162691,OutSegs
node_1,211.999996,1696162691,InSegs
node_1,-284.599994,1696162691,OutSegs
node_2,64.1701788,1696162691,InSegs
node_2,-153.2340544,1696162691,OutSegs
master,133.980972,1696162696,InSegs
master,-255.03905,1696162696,OutSegs
node_3,77.7259466,1696162696,InSegs
node_3,-158.1993902,1696162696,OutSegs
node_1,26.253898,1696162696,InSegs
node_1,-100.7864488,1696162696,OutSegs
node_2,187.585214,1696162696,InSegs
node_2,-277.019344,1696162696,OutSegs
master,222.149604,1696162701,InSegs
