type,k8s,tests,test-numbers,number-of-pods,metics,value
deployment,k8s,cp_heavy_8client,1,80,throughput,245.26633
deployment,k8s,cp_heavy_8client,1,80,latency,4.966861
deployment,k8s,cp_heavy_8client,2,80,throughput,246.77707
deployment,k8s,cp_heavy_8client,2,80,latency,4.7442183
pod,k8s,cp_heavy_8client,2,16,throughput,113.50191
pod,k8s,cp_heavy_8client,2,16,latency,2.0218277
pod,k8s,cp_heavy_8client,3,16,throughput,110.42105
pod,k8s,cp_heavy_8client,3,16,latency,2.0470855
deployment,k8s,cp_heavy_8client,3,80,throughput,239.36305
deployment,k8s,cp_heavy_8client,3,80,latency,4.9512773
deployment,k8s,cp_heavy_8client,4,80,throughput,249.63332
deployment,k8s,cp_heavy_8client,4,80,latency,4.725816
pod,k8s,cp_heavy_8client,4,16,throughput,111.14007
pod,k8s,cp_heavy_8client,4,16,latency,2.0919166
pod,k8s,cp_heavy_8client,5,16,throughput,119.02798
pod,k8s,cp_heavy_8client,5,16,latency,2.051443
deployment,k8s,cp_heavy_8client,5,80,throughput,246.64445
deployment,k8s,cp_heavy_8client,5,80,latency,4.7838707
deployment,kubeEdge,cp_heavy_8client,1,80,throughput,92.75982
deployment,kubeEdge,cp_heavy_8client,1,80,latency,45.587067
pod,kubeEdge,cp_heavy_8client,1,16,throughput,57.924637
pod,kubeEdge,cp_heavy_8client,1,16,latency,7.393758
pod,kubeEdge,cp_heavy_8client,2,16,throughput,61.653152
pod,kubeEdge,cp_heavy_8client,2,16,latency,7.294765
deployment,kubeEdge,cp_heavy_8client,2,80,throughput,82.393585
deployment,kubeEdge,cp_heavy_8client,2,80,latency,39.592255
pod,kubeEdge,cp_heavy_8client,3,16,throughput,47.84105
pod,kubeEdge,cp_heavy_8client,3,16,latency,8.76845
deployment,kubeEdge,cp_heavy_8client,3,80,throughput,67.63484
deployment,kubeEdge,cp_heavy_8client,3,80,latency,34.012455
pod,kubeEdge,cp_heavy_8client,4,16,throughput,50.733376
pod,kubeEdge,cp_heavy_8client,4,16,latency,18.488281
deployment,kubeEdge,cp_heavy_8client,4,80,throughput,35.552254
deployment,kubeEdge,cp_heavy_8client,4,80,latency,46.180702
pod,kubeEdge,cp_heavy_8client,5,16,throughput,74.1185
pod,kubeEdge,cp_heavy_8client,5,16,latency,10.895377
deployment,kubeEdge,cp_heavy_8client,5,80,throughput,79.22855
deployment,kubeEdge,cp_heavy_8client,5,80,latency,48.589813
pod,openYurt,cp_heavy_8client,1,16,throughput,102.2769
pod,openYurt,cp_heavy_8client,1,16,latency,2.3512256
deployment,openYurt,cp_heavy_8client,1,80,throughput,212.8972
deployment,openYurt,cp_heavy_8client,1,80,latency,6.0626726
pod,openYurt,cp_heavy_8client,2,16,throughput,85.94249
pod,openYurt,cp_heavy_8client,2,16,latency,2.474272
deployment,openYurt,cp_heavy_8client,2,80,throughput,184.27837
deployment,openYurt,cp_heavy_8client,2,80,latency,6.1754026
pod,openYurt,cp_heavy_8client,3,16,throughput,107.850845"
pod,openYurt,cp_heavy_8client,3,16,latency,2.2224267
deployment,openYurt,cp_heavy_8client,3,80,throughput,188.9567
deployment,openYurt,cp_heavy_8client,3,80,latency,6.533513
deployment,openYurt,cp_heavy_8client,4,80,throughput,206.21072
deployment,openYurt,cp_heavy_8client,4,80,latency,5.8887224
pod,openYurt,cp_heavy_8client,4,16,throughput,90.708725
pod,openYurt,cp_heavy_8client,4,16,latency,2.4517677
pod,openYurt,cp_heavy_8client,5,16,throughput,93.92254
pod,openYurt,cp_heavy_8client,5,16,latency,2.8209789
deployment,openYurt,cp_heavy_8client,5,80,throughput,179.01154
deployment,openYurt,cp_heavy_8client,5,80,latency,6.5344687
